player,total_runs,boundary_runs,boundary_percentage
SP Narine,1025,826,80.59
AD Russell,2039,1592,78.08
CH Gayle,4997,3752,75.09
AC Gilchrist,2069,1488,71.92
V Sehwag,2728,1962,71.92
DR Smith,2385,1678,70.36
PP Shaw,1588,1098,69.14
SR Watson,3880,2636,67.94
JC Buttler,2832,1906,67.3
Harbhajan Singh,833,560,67.23
BB McCullum,2882,1928,66.9
GJ Maxwell,2320,1546,66.64
N Rana,2181,1416,64.92
KA Pollard,3437,2206,64.18
Yuvraj Singh,2754,1758,63.83
RR Pant,2851,1812,63.56
HH Pandya,1972,1250,63.39
AJ Finch,2092,1318,63.0
Q de Kock,2767,1738,62.81
YK Pathan,3222,2018,62.63