player,total_runs_scored,strike_rate,wickets,economy_rate
SP Narine,1025,154.37,51,6.41
JC Archer,195,152.34,13,6.63
CH Morris,618,149.64,24,7.4
GJ Maxwell,2320,147.68,9,7.92
Rashid Khan,313,146.26,29,6.2
PJ Cummins,379,145.77,12,7.82
CH Gayle,4997,142.12,5,6.99
KA Pollard,3437,140.46,11,7.86
MM Ali,910,139.57,7,6.56
YK Pathan,3222,138.05,12,6.95
JA Morkel,975,136.94,19,7.49
SR Watson,3880,134.16,18,7.22
ST Jayasuriya,768,134.03,2,7.47
SK Raina,5536,132.54,4,7.07
KH Pandya,1326,132.2,12,6.86
Harbhajan Singh,833,130.97,40,6.74
BA Stokes,920,130.87,7,7.85
RG Sharma,5881,126.96,6,7.53
STR Binny,880,125.71,5,7.28
R Tewatia,738,125.51,2,7.56