bowler,matches_played,runs_conceded,overs,economy_rate
Rashid Khan,92,2308,372.0,6.2
M Muralitharan,66,1642,263.5,6.23
DW Steyn,95,2406,380.3,6.33
SP Narine,147,3755,586.0,6.41
SL Malinga,122,3194,495.7,6.44
R Ashwin,181,4387,670.7,6.54
Harbhajan Singh,160,3928,582.7,6.74
B Kumar,146,3818,564.0,6.77
M Kartik,55,1341,197.0,6.81
KH Pandya,93,1971,287.5,6.86
SK Warne,54,1408,203.8,6.91
JJ Bumrah,120,3298,476.2,6.93
YK Pathan,82,1372,197.3,6.95
PP Ojha,90,2261,324.2,6.97
AR Patel,121,3043,433.2,7.02
A Mishra,154,3897,552.8,7.05
P Kumar,119,3106,439.5,7.07
SK Raina,69,1096,155.0,7.07
M Morkel,70,2005,283.2,7.08
Z Khan,99,2691,379.3,7.09