player,batting_average,strike_rate
V Sehwag,28.72,148.83
AB de Villiers,42.47,148.58
GJ Maxwell,26.67,147.68
CH Gayle,39.98,142.12
KA Pollard,28.64,140.46
YK Pathan,30.69,138.05
DA Warner,42.94,136.4
SR Watson,31.29,134.16
SA Yadav,31.11,134.01
DA Miller,37.77,133.57
SK Raina,34.17,132.54
SV Samson,30.14,132.41
MS Dhoni,40.15,130.93
MA Agarwal,23.35,129.51
KD Karthik,28.06,129.27
F du Plessis,36.99,127.17
RG Sharma,30.63,126.96
BB McCullum,28.25,126.85
RV Uthappa,28.31,126.15
V Kohli,36.65,125.98